iter	Passed	Remaining
0	57	57280
1	57	28839
2	58	19342
3	58	14593
4	59	11746
5	59	9832
6	59	8469
7	60	7449
8	60	6661
9	60	6018
10	61	5494
11	61	5059
12	61	4688
13	62	4368
14	62	4096
15	62	3857
16	63	3647
17	63	3468
18	63	3300
19	64	3149
20	64	3013
21	65	2890
22	65	2776
23	65	2672
24	66	2580
25	66	2494
26	67	2415
27	67	2339
28	67	2268
29	68	2201
30	68	2142
31	68	2085
32	69	2029
33	69	1979
34	70	1937
35	70	1897
36	71	1851
37	71	1812
38	71	1773
39	72	1736
40	72	1699
41	72	1664
42	73	1631
43	73	1600
44	74	1570
45	74	1544
46	74	1517
47	75	1490
48	75	1465
49	75	1442
50	76	1418
51	76	1395
52	76	1373
53	77	1351
54	77	1333
55	77	1314
56	78	1297
57	78	1281
58	79	1264
59	79	1246
60	80	1231
61	80	1215
62	80	1199
63	81	1184
64	81	1170
65	82	1161
66	82	1148
67	82	1134
68	83	1121
69	83	1108
70	83	1096
71	84	1083
72	84	1071
73	84	1060
74	85	1049
75	85	1039
76	85	1030
77	86	1023
78	86	1013
79	87	1003
80	87	994
81	87	984
82	88	975
83	88	967
84	89	959
85	89	950
86	89	942
87	90	933
88	90	924
89	90	916
90	90	908
91	91	900
92	91	893
93	91	886
94	92	880
95	93	875
96	93	869
97	93	863
98	94	855
99	94	849
100	94	844
101	95	839
102	95	832
103	96	827
104	96	823
105	96	817
106	97	810
107	97	805
108	97	800
109	98	794
110	98	789
111	98	784
112	99	778
113	99	773
114	99	768
115	100	763
116	100	758
117	100	753
118	101	750
119	101	746
120	101	740
121	102	736
122	102	732
123	103	728
124	103	724
125	103	720
126	104	717
127	104	712
128	105	709
129	105	705
130	105	701
131	106	697
132	106	694
133	106	690
134	107	686
135	107	683
136	107	679
137	108	676
138	108	673
139	109	670
140	109	668
141	110	665
142	110	662
143	110	658
144	111	656
145	111	653
146	112	650
147	112	647
148	112	644
149	112	640
150	113	636
151	113	633
152	113	630
153	114	627
154	114	624
155	114	621
156	114	617
157	115	614
158	115	613
159	116	609
160	116	608
161	116	604
162	117	601
163	117	598
164	117	595
165	117	592
166	118	589
167	118	587
168	118	584
169	119	581
170	119	578
171	119	576
172	119	572
173	120	570
174	121	571
175	121	568
176	121	565
177	121	562
178	122	559
179	122	556
180	122	553
181	122	551
182	123	549
183	123	546
184	123	544
185	123	541
186	124	539
187	124	538
188	125	537
189	125	534
190	125	531
191	125	528
192	125	526
193	126	524
194	126	522
195	127	521
196	127	519
197	127	517
198	128	515
199	128	513
200	128	511
201	128	509
202	129	507
203	129	505
204	129	503
205	130	501
206	130	499
207	130	497
208	131	496
209	131	493
210	131	491
211	131	489
212	132	488
213	132	486
214	132	484
215	132	482
216	133	481
217	133	479
218	133	477
219	134	476
220	134	473
221	134	472
222	135	470
223	135	469
224	135	467
225	136	466
226	136	464
227	136	463
228	136	461
229	137	459
230	137	458
231	137	456
232	138	455
233	138	453
234	138	451
235	139	450
236	139	448
237	139	446
238	139	445
239	140	444
240	140	442
241	140	440
242	140	438
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	430
249	143	429
250	143	428
251	143	427
252	144	425
253	144	424
254	144	422
255	144	421
256	144	419
257	145	417
258	145	416
259	145	414
260	146	413
261	146	412
262	146	411
263	147	410
264	147	408
265	147	407
266	147	405
267	147	404
268	148	402
269	148	401
270	148	400
271	149	399
272	149	397
273	149	396
274	149	395
275	150	393
276	150	392
277	150	391
278	151	390
279	151	389
280	151	387
281	151	386
282	152	385
283	152	384
284	152	383
285	153	382
286	153	381
287	153	380
